pago_id,socio_id,nivel,perfil_pago,monto,descuento,fecha_limite,fecha_pago,dias_retraso,metodo_pago
35,3,Básico,puntual,20,10,2025-05-01,2025-05-01,0,Tarjeta
36,3,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Débito automático
37,4,Premium,puntual,70,0,2024-07-01,2024-07-01,0,Tarjeta
38,4,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Tarjeta
39,4,Premium,puntual,60,10,2024-09-01,2024-09-01,0,Débito automático
40,4,Premium,puntual,70,0,2024-10-01,2024-10-01,0,Débito automático
41,4,Premium,puntual,60,10,2024-11-01,2024-11-02,1,Efectivo
42,4,Premium,puntual,65,5,2024-12-01,2024-12-01,0,Tarjeta
43,4,Premium,puntual,70,0,2025-01-01,2025-01-01,0,Transferencia
44,4,Premium,puntual,70,0,2025-02-01,2025-02-01,0,Tarjeta
45,4,Premium,puntual,65,5,2025-03-01,2025-03-01,0,Efectivo
46,4,Premium,puntual,60,10,2025-04-01,2025-04-01,0,Tarjeta
47,4,Premium,puntual,70,0,2025-05-01,2025-05-02,1,Tarjeta
48,4,Premium,puntual,70,0,2025-06-01,2025-06-01,0,Tarjeta
49,5,Estándar,leve_retraso,50,0,2024-07-01,2024-07-01,0,Efectivo
50,5,Estándar,leve_retraso,50,0,2024-08-01,2024-08-01,0,Efectivo
51,5,Estándar,leve_retraso,50,0,2024-09-01,2024-09-01,0,Transferencia
52,5,Estándar,leve_retraso,50,0,2024-10-01,2024-10-06,5,Efectivo
53,5,Estándar,leve_retraso,50,0,2024-11-01,2024-11-01,0,Efectivo
54,5,Estándar,leve_retraso,50,0,2024-12-01,2024-12-04,3,Tarjeta
55,5,Estándar,leve_retraso,50,0,2025-01-01,2025-01-06,5,Tarjeta
56,5,Estándar,leve_retraso,50,0,2025-02-01,2025-02-06,5,Débito automático
57,5,Estándar,leve_retraso,50,0,2025-03-01,2025-03-01,0,Transferencia
58,5,Estándar,leve_retraso,50,0,2025-04-01,2025-04-04,3,Tarjeta
59,5,Estándar,leve_retraso,50,0,2025-05-01,2025-05-04,3,Transferencia
60,5,Estándar,leve_retraso,50,0,2025-06-01,2025-06-06,5,Transferencia
61,6,Premium,puntual,70,0,2024-07-01,2024-07-01,0,Débito automático
62,6,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Tarjeta
63,6,Premium,puntual,60,10,2024-09-01,2024-09-01,0,Tarjeta
64,6,Premium,puntual,70,0,2024-10-01,2024-10-01,0,Tarjeta
65,6,Premium,puntual,70,0,2024-11-01,2024-11-02,1,Efectivo
66,6,Premium,puntual,70,0,2024-12-01,2024-12-01,0,Efectivo
67,6,Premium,puntual,70,0,2025-01-01,2025-01-03,2,Tarjeta
68,6,Premium,puntual,70,0,2025-02-01,2025-02-01,0,Efectivo
69,6,Premium,puntual,65,5,2025-03-01,2025-03-01,0,Tarjeta
70,6,Premium,puntual,70,0,2025-04-01,2025-04-01,0,Efectivo
71,6,Premium,puntual,70,0,2025-05-01,2025-05-01,0,Transferencia
72,6,Premium,puntual,70,0,2025-06-01,2025-06-03,2,Tarjeta
73,7,Básico,leve_retraso,30,0,2024-07-01,2024-07-01,0,Transferencia
74,7,Básico,leve_retraso,30,0,2024-08-01,2024-08-04,3,Tarjeta
75,7,Básico,leve_retraso,30,0,2024-09-01,2024-09-01,0,Tarjeta
76,7,Básico,leve_retraso,30,0,2024-10-01,2024-10-04,3,Tarjeta
77,7,Básico,leve_retraso,30,0,2024-11-01,2024-11-06,5,Efectivo
78,7,Básico,leve_retraso,30,0,2024-12-01,2024-12-04,3,Tarjeta
79,7,Básico,leve_retraso,30,0,2025-01-01,2025-01-01,0,Tarjeta
80,7,Básico,leve_retraso,30,0,2025-02-01,2025-02-06,5,Tarjeta
81,7,Básico,leve_retraso,30,0,2025-03-01,2025-03-01,0,Tarjeta
82,7,Básico,leve_retraso,30,0,2025-04-01,2025-04-01,0,Transferencia
83,7,Básico,leve_retraso,30,0,2025-05-01,2025-05-01,0,Tarjeta
84,7,Básico,leve_retraso,30,0,2025-06-01,2025-06-08,7,Tarjeta
85,8,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Transferencia
86,8,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Efectivo
87,8,Básico,puntual,25,5,2024-09-01,2024-09-01,0,Transferencia
88,8,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Efectivo
89,8,Básico,puntual,30,0,2024-11-01,2024-11-01,0,Efectivo
90,8,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Efectivo
91,8,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Tarjeta
92,8,Básico,puntual,25,5,2025-02-01,2025-02-01,0,Tarjeta
93,8,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Tarjeta
94,8,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Tarjeta
95,8,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Tarjeta
96,8,Básico,puntual,30,0,2025-06-01,2025-06-02,1,Tarjeta
97,9,Estándar,puntual,50,0,2024-07-01,2024-07-01,0,Tarjeta
98,9,Estándar,puntual,50,0,2024-08-01,2024-08-01,0,Efectivo
99,9,Estándar,puntual,50,0,2024-09-01,2024-09-01,0,Transferencia
100,9,Estándar,puntual,40,10,2024-10-01,2024-10-01,0,Transferencia
101,9,Estándar,puntual,45,5,2024-11-01,2024-11-01,0,Tarjeta
102,9,Estándar,puntual,50,0,2024-12-01,2024-12-02,1,Tarjeta
103,9,Estándar,puntual,50,0,2025-01-01,2025-01-01,0,Débito automático
104,9,Estándar,puntual,50,0,2025-02-01,2025-02-01,0,Transferencia
105,9,Estándar,puntual,50,0,2025-03-01,2025-03-01,0,Tarjeta
106,9,Estándar,puntual,50,0,2025-04-01,2025-04-01,0,Débito automático
107,9,Estándar,puntual,50,0,2025-05-01,2025-05-01,0,Transferencia
108,9,Estándar,puntual,50,0,2025-06-01,2025-06-01,0,Transferencia
109,10,Básico,puntual,20,10,2024-07-01,2024-07-01,0,Tarjeta
110,10,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Tarjeta
111,10,Básico,puntual,25,5,2024-09-01,2024-09-01,0,Efectivo
112,10,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Efectivo
113,10,Básico,puntual,25,5,2024-11-01,2024-11-01,0,Tarjeta
114,10,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Débito automático
115,10,Básico,puntual,30,0,2025-01-01,2025-01-03,2,Efectivo
116,10,Básico,puntual,30,0,2025-02-01,2025-02-02,1,Efectivo
117,10,Básico,puntual,20,10,2025-03-01,2025-03-01,0,Efectivo
118,10,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Transferencia
119,10,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Efectivo
120,10,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Débito automático
121,11,Básico,leve_retraso,30,0,2024-07-01,2024-07-04,3,Tarjeta
122,11,Básico,leve_retraso,30,0,2024-08-01,2024-08-06,5,Tarjeta
123,11,Básico,leve_retraso,30,0,2024-09-01,2024-09-06,5,Transferencia
124,11,Básico,leve_retraso,30,0,2024-10-01,2024-10-06,5,Tarjeta
125,11,Básico,leve_retraso,30,0,2024-11-01,2024-11-04,3,Tarjeta
126,11,Básico,leve_retraso,30,0,2024-12-01,2024-12-04,3,Tarjeta
127,11,Básico,leve_retraso,30,0,2025-01-01,2025-01-04,3,Efectivo
128,11,Básico,leve_retraso,30,0,2025-02-01,2025-02-01,0,Tarjeta
129,11,Básico,leve_retraso,30,0,2025-03-01,2025-03-04,3,Tarjeta
130,11,Básico,leve_retraso,30,0,2025-04-01,2025-04-06,5,Tarjeta
131,11,Básico,leve_retraso,30,0,2025-05-01,2025-05-01,0,Transferencia
132,11,Básico,leve_retraso,30,0,2025-06-01,2025-06-04,3,Transferencia
133,12,Básico,puntual,30,0,2024-07-01,2024-07-03,2,Transferencia
134,12,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Efectivo
135,12,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Tarjeta
136,12,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Tarjeta
137,12,Básico,puntual,30,0,2024-11-01,2024-11-01,0,Tarjeta
138,12,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Tarjeta
139,12,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Efectivo
140,12,Básico,puntual,30,0,2025-02-01,2025-02-01,0,Transferencia
141,12,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Débito automático
142,12,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Tarjeta
143,12,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Débito automático
144,12,Básico,puntual,20,10,2025-06-01,2025-06-01,0,Efectivo
145,13,Estándar,puntual,50,0,2024-07-01,2024-07-02,1,Tarjeta
146,13,Estándar,puntual,50,0,2024-08-01,2024-08-02,1,Transferencia
147,13,Estándar,puntual,40,10,2024-09-01,2024-09-01,0,Efectivo
148,13,Estándar,puntual,40,10,2024-10-01,2024-10-02,1,Débito automático
149,13,Estándar,puntual,50,0,2024-11-01,2024-11-01,0,Débito automático
150,13,Estándar,puntual,50,0,2024-12-01,2024-12-01,0,Débito automático
151,13,Estándar,puntual,50,0,2025-01-01,2025-01-01,0,Tarjeta
152,13,Estándar,puntual,50,0,2025-02-01,2025-02-01,0,Tarjeta
153,13,Estándar,puntual,50,0,2025-03-01,2025-03-01,0,Tarjeta
154,13,Estándar,puntual,50,0,2025-04-01,2025-04-01,0,Débito automático
155,13,Estándar,puntual,50,0,2025-05-01,2025-05-01,0,Transferencia
156,13,Estándar,puntual,50,0,2025-06-01,2025-06-01,0,Tarjeta
157,14,Estándar,puntual,40,10,2024-07-01,2024-07-01,0,Efectivo
158,14,Estándar,puntual,45,5,2024-08-01,2024-08-01,0,Tarjeta
159,14,Estándar,puntual,50,0,2024-09-01,2024-09-01,0,Tarjeta
160,14,Estándar,puntual,40,10,2024-10-01,2024-10-01,0,Tarjeta
161,14,Estándar,puntual,50,0,2024-11-01,2024-11-01,0,Efectivo
162,14,Estándar,puntual,50,0,2024-12-01,2024-12-01,0,Tarjeta
163,14,Estándar,puntual,50,0,2025-01-01,2025-01-01,0,Tarjeta
164,14,Estándar,puntual,50,0,2025-02-01,2025-02-01,0,Tarjeta
165,14,Estándar,puntual,50,0,2025-03-01,2025-03-01,0,Efectivo
166,14,Estándar,puntual,50,0,2025-04-01,2025-04-01,0,Tarjeta
167,14,Estándar,puntual,50,0,2025-05-01,2025-05-01,0,Transferencia
168,14,Estándar,puntual,40,10,2025-06-01,2025-06-02,1,Débito automático
169,15,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Tarjeta
170,15,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Efectivo
171,15,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Efectivo
172,15,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Tarjeta
173,15,Básico,puntual,20,10,2024-11-01,2024-11-01,0,Tarjeta
174,15,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Transferencia
175,15,Básico,puntual,30,0,2025-01-01,2025-01-03,2,Tarjeta
176,15,Básico,puntual,30,0,2025-02-01,2025-02-03,2,Débito automático
177,15,Básico,puntual,20,10,2025-03-01,2025-03-01,0,Transferencia
178,15,Básico,puntual,25,5,2025-04-01,2025-04-01,0,Transferencia
179,15,Básico,puntual,25,5,2025-05-01,2025-05-01,0,Tarjeta
180,15,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Tarjeta
181,16,Básico,leve_retraso,30,0,2024-07-01,2024-07-01,0,Tarjeta
182,16,Básico,leve_retraso,30,0,2024-08-01,2024-08-04,3,Efectivo
183,16,Básico,leve_retraso,30,0,2024-09-01,2024-09-06,5,Tarjeta
184,16,Básico,leve_retraso,30,0,2024-10-01,2024-10-04,3,Tarjeta
185,16,Básico,leve_retraso,30,0,2024-11-01,2024-11-01,0,Débito automático
186,16,Básico,leve_retraso,30,0,2024-12-01,2024-12-06,5,Efectivo
187,16,Básico,leve_retraso,30,0,2025-01-01,2025-01-06,5,Tarjeta
188,16,Básico,leve_retraso,30,0,2025-02-01,2025-02-06,5,Transferencia
189,16,Básico,leve_retraso,30,0,2025-03-01,2025-03-04,3,Efectivo
190,16,Básico,leve_retraso,30,0,2025-04-01,2025-04-01,0,Tarjeta
191,16,Básico,leve_retraso,30,0,2025-05-01,2025-05-06,5,Efectivo
192,16,Básico,leve_retraso,30,0,2025-06-01,2025-06-01,0,Transferencia
193,17,Premium,puntual,70,0,2024-07-01,2024-07-01,0,Efectivo
194,17,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Débito automático
195,17,Premium,puntual,60,10,2024-09-01,2024-09-01,0,Efectivo
196,17,Premium,puntual,70,0,2024-10-01,2024-10-01,0,Transferencia
197,17,Premium,puntual,60,10,2024-11-01,2024-11-01,0,Débito automático
198,17,Premium,puntual,70,0,2024-12-01,2024-12-01,0,Tarjeta
199,17,Premium,puntual,70,0,2025-01-01,2025-01-01,0,Débito automático
200,17,Premium,puntual,70,0,2025-02-01,2025-02-01,0,Tarjeta
201,17,Premium,puntual,60,10,2025-03-01,2025-03-03,2,Efectivo
202,17,Premium,puntual,65,5,2025-04-01,2025-04-01,0,Tarjeta
203,17,Premium,puntual,70,0,2025-05-01,2025-05-01,0,Transferencia
204,17,Premium,puntual,70,0,2025-06-01,2025-06-01,0,Tarjeta
205,18,Premium,moroso,70,0,2024-07-01,2024-07-21,20,Transferencia
206,18,Premium,moroso,70,0,2024-08-01,2024-08-06,5,Efectivo
207,18,Premium,moroso,70,0,2024-09-01,2024-09-06,5,Tarjeta
208,18,Premium,moroso,70,0,2024-10-01,2024-10-06,5,Transferencia
209,18,Premium,moroso,70,0,2025-01-01,2025-01-11,10,Tarjeta
210,18,Premium,moroso,70,0,2025-02-01,2025-02-06,5,Transferencia
211,18,Premium,moroso,70,0,2025-03-01,2025-03-11,10,Efectivo
212,18,Premium,moroso,70,0,2025-04-01,2025-04-06,5,Efectivo
213,18,Premium,moroso,70,0,2025-05-01,2025-05-06,5,Débito automático
214,18,Premium,moroso,70,0,2025-06-01,2025-06-06,5,Tarjeta
215,19,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Transferencia
216,19,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Transferencia
217,19,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Efectivo
218,19,Básico,puntual,30,0,2024-10-01,2024-10-02,1,Efectivo
219,19,Básico,puntual,30,0,2024-11-01,2024-11-02,1,Efectivo
220,19,Básico,puntual,30,0,2024-12-01,2024-12-02,1,Efectivo
221,19,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Débito automático
222,19,Básico,puntual,30,0,2025-02-01,2025-02-02,1,Tarjeta
223,19,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Tarjeta
224,19,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Tarjeta
225,19,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Efectivo
226,19,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Transferencia
227,20,Básico,leve_retraso,30,0,2024-07-01,2024-07-01,0,Tarjeta
228,20,Básico,leve_retraso,30,0,2024-08-01,2024-08-04,3,Transferencia
229,20,Básico,leve_retraso,30,0,2024-09-01,2024-09-04,3,Tarjeta
230,20,Básico,leve_retraso,30,0,2024-10-01,2024-10-06,5,Tarjeta
231,20,Básico,leve_retraso,30,0,2024-11-01,2024-11-01,0,Efectivo
232,20,Básico,leve_retraso,30,0,2024-12-01,2024-12-06,5,Efectivo
233,20,Básico,leve_retraso,30,0,2025-01-01,2025-01-06,5,Tarjeta
234,20,Básico,leve_retraso,30,0,2025-02-01,2025-02-08,7,Transferencia
235,20,Básico,leve_retraso,30,0,2025-03-01,2025-03-08,7,Tarjeta
236,20,Básico,leve_retraso,30,0,2025-04-01,2025-04-06,5,Tarjeta
237,20,Básico,leve_retraso,30,0,2025-05-01,2025-05-04,3,Tarjeta
238,20,Básico,leve_retraso,30,0,2025-06-01,2025-06-06,5,Débito automático
239,21,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Tarjeta
240,21,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Efectivo
241,21,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Efectivo
242,21,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Efectivo
243,21,Básico,puntual,30,0,2024-11-01,2024-11-01,0,Tarjeta
244,21,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Débito automático
245,21,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Tarjeta
246,21,Básico,puntual,30,0,2025-02-01,2025-02-02,1,Tarjeta
247,21,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Débito automático
248,21,Básico,puntual,30,0,2025-04-01,2025-04-02,1,Tarjeta
249,21,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Efectivo
250,21,Básico,puntual,20,10,2025-06-01,2025-06-01,0,Débito automático
251,22,Premium,puntual,70,0,2024-07-01,2024-07-01,0,Tarjeta
252,22,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Tarjeta
253,22,Premium,puntual,70,0,2024-09-01,2024-09-01,0,Tarjeta
254,22,Premium,puntual,70,0,2024-10-01,2024-10-03,2,Transferencia
255,22,Premium,puntual,70,0,2024-11-01,2024-11-01,0,Transferencia
256,22,Premium,puntual,60,10,2024-12-01,2024-12-01,0,Efectivo
257,22,Premium,puntual,70,0,2025-01-01,2025-01-01,0,Efectivo
258,22,Premium,puntual,70,0,2025-02-01,2025-02-03,2,Transferencia
259,22,Premium,puntual,70,0,2025-03-01,2025-03-01,0,Tarjeta
260,22,Premium,puntual,60,10,2025-04-01,2025-04-01,0,Efectivo
261,22,Premium,puntual,70,0,2025-05-01,2025-05-01,0,Tarjeta
262,22,Premium,puntual,70,0,2025-06-01,2025-06-01,0,Transferencia
263,23,Estándar,puntual,50,0,2024-07-01,2024-07-01,0,Transferencia
264,23,Estándar,puntual,50,0,2024-08-01,2024-08-02,1,Tarjeta
265,23,Estándar,puntual,50,0,2024-09-01,2024-09-01,0,Transferencia
266,23,Estándar,puntual,50,0,2024-10-01,2024-10-01,0,Transferencia
267,23,Estándar,puntual,50,0,2024-11-01,2024-11-01,0,Efectivo
268,23,Estándar,puntual,50,0,2024-12-01,2024-12-01,0,Débito automático
269,23,Estándar,puntual,45,5,2025-01-01,2025-01-01,0,Efectivo
270,23,Estándar,puntual,50,0,2025-02-01,2025-02-02,1,Efectivo
271,23,Estándar,puntual,50,0,2025-03-01,2025-03-01,0,Tarjeta
272,23,Estándar,puntual,50,0,2025-04-01,2025-04-01,0,Transferencia
273,23,Estándar,puntual,50,0,2025-05-01,2025-05-01,0,Efectivo
274,23,Estándar,puntual,50,0,2025-06-01,2025-06-01,0,Débito automático
275,24,Estándar,puntual,50,0,2024-07-01,2024-07-01,0,Tarjeta
276,24,Estándar,puntual,50,0,2024-08-01,2024-08-01,0,Efectivo
277,24,Estándar,puntual,50,0,2024-09-01,2024-09-01,0,Débito automático
278,24,Estándar,puntual,50,0,2024-10-01,2024-10-01,0,Débito automático
279,24,Estándar,puntual,40,10,2024-11-01,2024-11-01,0,Transferencia
280,24,Estándar,puntual,50,0,2024-12-01,2024-12-01,0,Transferencia
281,24,Estándar,puntual,50,0,2025-01-01,2025-01-01,0,Efectivo
282,24,Estándar,puntual,40,10,2025-02-01,2025-02-02,1,Débito automático
283,24,Estándar,puntual,50,0,2025-03-01,2025-03-01,0,Efectivo
284,24,Estándar,puntual,50,0,2025-04-01,2025-04-01,0,Efectivo
285,24,Estándar,puntual,50,0,2025-05-01,2025-05-01,0,Transferencia
286,24,Estándar,puntual,50,0,2025-06-01,2025-06-01,0,Efectivo
287,25,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Tarjeta
288,25,Básico,puntual,25,5,2024-08-01,2024-08-01,0,Efectivo
289,25,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Efectivo
290,25,Básico,puntual,25,5,2024-10-01,2024-10-03,2,Efectivo
291,25,Básico,puntual,30,0,2024-11-01,2024-11-02,1,Tarjeta
292,25,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Efectivo
293,25,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Transferencia
294,25,Básico,puntual,30,0,2025-02-01,2025-02-01,0,Efectivo
295,25,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Transferencia
296,25,Básico,puntual,30,0,2025-04-01,2025-04-03,2,Efectivo
297,25,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Transferencia
298,25,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Tarjeta
299,26,Estándar,moroso,50,0,2024-09-01,2024-09-11,10,Transferencia
300,26,Estándar,moroso,50,0,2024-10-01,2024-10-06,5,Efectivo
301,26,Estándar,moroso,50,0,2024-11-01,2024-11-11,10,Efectivo
302,26,Estándar,moroso,50,0,2024-12-01,2024-12-06,5,Tarjeta
303,26,Estándar,moroso,50,0,2025-01-01,2025-01-16,15,Tarjeta
304,26,Estándar,moroso,50,0,2025-02-01,2025-02-06,5,Efectivo
305,26,Estándar,moroso,50,0,2025-03-01,2025-03-11,10,Tarjeta
306,26,Estándar,moroso,50,0,2025-04-01,2025-04-11,10,Transferencia
307,26,Estándar,moroso,50,0,2025-05-01,2025-05-06,5,Tarjeta
308,27,Premium,moroso,70,0,2024-07-01,2024-07-21,20,Efectivo
309,27,Premium,moroso,70,0,2024-08-01,2024-08-11,10,Transferencia
310,27,Premium,moroso,70,0,2024-09-01,2024-09-06,5,Tarjeta
311,27,Premium,moroso,70,0,2024-10-01,2024-10-06,5,Tarjeta
312,27,Premium,moroso,70,0,2025-01-01,2025-01-06,5,Tarjeta
313,27,Premium,moroso,70,0,2025-02-01,2025-02-16,15,Efectivo
314,27,Premium,moroso,70,0,2025-05-01,2025-05-16,15,Efectivo
315,27,Premium,moroso,70,0,2025-06-01,2025-06-06,5,Tarjeta
316,28,Premium,puntual,70,0,2024-07-01,2024-07-02,1,Transferencia
317,28,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Transferencia
318,28,Premium,puntual,60,10,2024-09-01,2024-09-01,0,Tarjeta
319,28,Premium,puntual,70,0,2024-10-01,2024-10-01,0,Efectivo
320,28,Premium,puntual,60,10,2024-11-01,2024-11-01,0,Efectivo
321,28,Premium,puntual,70,0,2024-12-01,2024-12-01,0,Transferencia
322,28,Premium,puntual,70,0,2025-01-01,2025-01-03,2,Tarjeta
323,28,Premium,puntual,65,5,2025-02-01,2025-02-01,0,Efectivo
324,28,Premium,puntual,60,10,2025-03-01,2025-03-01,0,Efectivo
325,28,Premium,puntual,70,0,2025-04-01,2025-04-03,2,Tarjeta
326,28,Premium,puntual,65,5,2025-05-01,2025-05-01,0,Tarjeta
327,28,Premium,puntual,70,0,2025-06-01,2025-06-01,0,Efectivo
328,29,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Transferencia
329,29,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Transferencia
330,29,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Tarjeta
331,29,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Tarjeta
332,29,Básico,puntual,30,0,2024-11-01,2024-11-01,0,Transferencia
333,29,Básico,puntual,30,0,2024-12-01,2024-12-03,2,Efectivo
334,29,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Tarjeta
335,29,Básico,puntual,30,0,2025-02-01,2025-02-01,0,Transferencia
336,29,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Tarjeta
337,29,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Tarjeta
338,29,Básico,puntual,25,5,2025-05-01,2025-05-01,0,Transferencia
339,29,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Tarjeta
340,30,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Tarjeta
341,30,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Tarjeta
342,30,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Efectivo
343,30,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Efectivo
344,30,Básico,puntual,20,10,2024-11-01,2024-11-01,0,Tarjeta
345,30,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Tarjeta
346,30,Básico,puntual,30,0,2025-01-01,2025-01-02,1,Efectivo
347,30,Básico,puntual,30,0,2025-02-01,2025-02-01,0,Tarjeta
348,30,Básico,puntual,30,0,2025-03-01,2025-03-01,0,Transferencia
349,30,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Transferencia
350,30,Básico,puntual,30,0,2025-05-01,2025-05-01,0,Efectivo
351,30,Básico,puntual,30,0,2025-06-01,2025-06-01,0,Efectivo
352,31,Básico,puntual,25,5,2024-07-01,2024-07-01,0,Tarjeta
353,31,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Tarjeta
